Release Date,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes,YoutubePercentage
18-Jul-14,Amit Sahni Ki List,N,Comedy,10,4.0,572336,586,54,91.5625
4-Jul-14,Bobby Jasoos,N,Comedy,18,10.8,3113427,4512,1224,78.66108786610879
19-Sep-14,Daawat-E-Ishq,N,Comedy,30,24.6,3905050,8315,1373,85.82782824112304
11-Jan-13,Matru Ki Bijlee Ka Mandola,N,Comedy,33,40.0,2435283,4326,647,86.98974462095315
10-Jan-14,Dedh Ishqiya,LW,Comedy,31,27.0,2333067,2436,591,80.47571853320119
8-Aug-14,Entertainment,N,Comedy,60,163.0,6336058,20472,2843,87.80613339052113
6-Jun-14,Filmistaan,HS,Comedy,10,6.0,989096,1608,173,90.28635597978663
12-Sep-14,Finding Fanny,N,Comedy,15,58.9,6144142,13013,2746,82.57503648708673
13-Jun-14,Fugly,HS,Comedy,10,12.6,2343109,2963,556,84.20005683432792
20-Jun-14,Humshakals,HS,Comedy,75,63.7,6280868,1,1,50.0
15-Mar-13,Mere Dad Ki Maruti,N,Comedy,5,11.0,569711,1226,133,90.21339220014717
15-Mar-13,Jolly LLB,N,Comedy,10,32.7,1741424,3024,181,94.35257410296411
4-Apr-14,Main Tera Hero,LW,Comedy,40,55.0,4903941,12657,2139,85.5433901054339
5-Apr-13,Chashme Baddoor,N,Comedy,20,42.0,166066,2897,283,91.1006289308176
12-Apr-13,Nautanki Saala,LW,Comedy,9,21.5,1208841,1442,342,80.82959641255604
9-May-14,Mastram,HS,Comedy,2,3.0,3557585,3927,1364,74.22037422037423
28-Mar-14,O Teri,N,Comedy,21,3.75,1511318,3004,278,91.52955514929921
10-May-13,Go Goa Gone,N,Comedy,16,28.2,4321162,10126,964,91.30748422001803
28-Feb-14,Shaadi Ke Side Effects,N,Comedy,50,37.8,4590539,9021,1465,86.0289910356666
7-Nov-14,The Shaukeens,N,Comedy,35,32.5,3395361,8395,1204,87.45702677362225
7-Jun-13,Yamla Pagla Deewana 2,N,Comedy,24,55.0,2775792,5457,681,88.90518084066471
9-May-14,Yeh Hai Bakrapur,HS,Comedy,5,2.0,1257416,758,923,45.09220701963117
14-Jun-13,Fukrey,N,Comedy,5,36.2,227912,222,39,85.0574712643678
28-Jun-13,Ghanchakkar,N,Comedy,30,38.0,2248046,5108,614,89.26948619363858
2-Oct-13,Besharam,LW,Comedy,85,35.0,5319606,10253,8165,55.668367900966444
26-Jul-13,Bajatey Raho,N,Comedy,5,10.0,462722,513,77,86.94915254237287
3-Jan-14,Mr Joe B Carvalho,N,Comedy,15,4.0,268289,139,40,77.6536312849162
9-Aug-13,Chennai Express,FS,Comedy,75,395.0,1882346,7954,1593,83.314130093223
29-Nov-13,Bullett Raja,N,Comedy,50,40.0,4015674,8084,2129,79.15401938705571
11-Oct-13,War Chhod Na Yaar,FS,Comedy,14,7.5,40450,33,7,82.5
11-Oct-13,Baat Ban Gayi,FS,Comedy,4,1.5,23186,9,4,69.23076923076923
25-Oct-13,Mickey Virus,N,Comedy,11,6.0,335807,574,129,81.65007112375532
13-Sep-13,Grand Masti,LW,Comedy,35,298.0,1795640,3015,721,80.70128479657387
27-Feb-15,Dum Laga Ke Haisha,N,Comedy,15,30.0,3250917,8185,615,93.01136363636363
20-Mar-15,Dilliwali Zaalim Girlfriend,N,Comedy,32,12.0,2316047,4289,807,84.16405023547881
20-Mar-15,Hunterrr,N,Comedy,5,11.89,4674795,3706,762,82.94538943598926
